"Issue ID","Issue Type","Summary","Labels","Start Date","Due Date","Sprint","Parent ID","Description"
"PD-101","Sub-task","Wiring & sync test: Data Quality framework → all ingestion pipelines","wiring-test, post-demo","2026-07-30","2026-07-31","July 2026","PD-038","End-to-end wiring + sync verification that every ingestion job runs through the Data Quality validators and that failures surface in the feed-health dashboard with actionable detail.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (ingestion → validator → pass/fail + dashboard)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (sample bad data triggers correct validator + alert)
- [ ] Test cases documented in QA test plan"
"PD-102","Sub-task","Wiring & sync test: Site metered ingestion → load chart","wiring-test, post-demo","2026-07-30","2026-07-31","July 2026","PD-039","End-to-end wiring + sync verification for buyer-supplied 15-min metered data flowing into site_metered → load chart shape calibration → forecast validation.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (CSV/EDI/meter → site_metered → forecast hook)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (gap-fill flagged correctly; unit normalisation correct)
- [ ] Test cases documented in QA test plan"
"PD-103","Sub-task","Wiring & sync test: RFQ Builder handoff cycle (Solicit → Contracting → back-fill)","wiring-test, post-demo","2026-08-28","2026-08-31","August 2026","PD-030","End-to-end wiring + sync verification for the full Planning ↔ Contracting RFQ cycle: Solicit RFQ button → handoff payload → RFQ Builder → pending Transaction record → back-fill into Planning.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (CTA → payload → Contracting → Transaction → Planning hot-reload)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (rejected / cancelled RFQ flows back correctly)
- [ ] Test cases documented in QA test plan"
"PD-104","Sub-task","Wiring & sync test: 3-ISO Live + Historical 5-yr backfill integrated","wiring-test, post-demo","2026-08-28","2026-08-31","August 2026","PD-034","End-to-end wiring + sync verification that the 5-year historical backfill seamlessly precedes the live ingestion window with no gaps and matching schemas.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (backfill window meets live window; no gap, no overlap)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (ML reads continuous historical→live series)
- [ ] Test cases documented in QA test plan"
"PD-105","Sub-task","Wiring & sync test: 3-ISO Outage & Constraint feeds → UI surfaces","wiring-test, post-demo","2026-08-28","2026-08-31","August 2026","PD-036","End-to-end wiring + sync verification for outage and constraint data flowing into iso_outages / iso_constraints and any UI surfaces consuming them (Map overlay, Risk Report context).

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (vendor → iso_outages/iso_constraints → UI)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (planned vs unplanned outage tagging consistent)
- [ ] Test cases documented in QA test plan"
"PD-106","Sub-task","Wiring & sync test: 3-ISO Map overlay + Macro reference UI","wiring-test, post-demo","2026-08-28","2026-08-31","August 2026","PD-041","End-to-end wiring + sync verification that the Map can toggle PJM/MISO/ERCOT footprints and the Risk Report surfaces the correct macro Power hub per site.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (ISO toggle → zone overlay swap; site → hub mapping)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (cross-ISO scope renders without crashes)
- [ ] Test cases documented in QA test plan"
"PD-107","Sub-task","Wiring & sync test: Historical BRA backfill (10 yr) → Capacity Risk","wiring-test, post-demo","2026-09-12","2026-09-15","September 2026","PD-043","End-to-end wiring + sync verification that the 10-year BRA backfill renders as the historical envelope on the Capacity Risk panel.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (backfill → bra_history → Capacity Risk envelope)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (zone splits/mergers handled correctly across the 10 yr window)
- [ ] Test cases documented in QA test plan"
"PD-108","Sub-task","Wiring & sync test: Transaction state machine integration","wiring-test, post-demo","2026-09-28","2026-09-30","September 2026","PD-042","End-to-end wiring + sync verification for the Pending → In Progress → Accepted → Settled transitions and Planning Module hot-reload on Accepted.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (state transition → audit log → Planning back-fill)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (load chart + Risk Report + Map overlay all update on Accept)
- [ ] Test cases documented in QA test plan"
"PD-109","Sub-task","Wiring & sync test: ML simulation pipeline","wiring-test, post-demo","2026-09-28","2026-09-30","September 2026","PD-044","End-to-end wiring + sync verification for the ML orchestration: scope hash → simulation job → cached bands → Risk Report render within the 500 ms target.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (scope change → job dispatch → cache → render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (cache invalidation when contract stack changes)
- [ ] Test cases documented in QA test plan"
"PD-110","Sub-task","Wiring & sync test: 8 risk dimensions UI + schema","wiring-test, post-demo","2026-09-28","2026-09-30","September 2026","PD-045","End-to-end wiring + sync verification that all 8 risk dimensions render in the Risk Report decomposition table with ML P10/P50/P90 bands.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (8 models → simulation → 8 rows render)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (Long-Term Market, Execution, Counterparty rows non-empty)
- [ ] Test cases documented in QA test plan"
"PD-111","Sub-task","Wiring & sync test: REC tracking system feeds (PJM-GATS / M-RETS / ERCOT)","wiring-test, post-demo","2026-09-28","2026-09-30","September 2026","PD-046","End-to-end wiring + sync verification for the three REC tracking system adaptors → recs_ledger → RECs sub-tab.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (PJM-GATS + M-RETS + ERCOT → ledger → UI)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (per-ISO sites read from correct registry)
- [ ] Test cases documented in QA test plan"
"PD-112","Sub-task","Wiring & sync test: Historical site metered backfill","wiring-test, post-demo","2026-09-28","2026-09-30","September 2026","PD-047","End-to-end wiring + sync verification for 3-year metered backfill landing in site_metered + driving the load-shape comparison report.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (backfill → site_metered → comparison report)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (anomaly detection nightly job reads the backfill)
- [ ] Test cases documented in QA test plan"
"PD-113","Sub-task","Wiring & sync test: Tariff link Supabase migration","wiring-test, post-demo","2026-09-28","2026-09-30","September 2026","PD-048","End-to-end wiring + sync verification that tariff links persist via Supabase, survive cross-device sessions, and that legacy localStorage links migrate cleanly.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (link → site_tariff_links → render across sessions)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (legacy localStorage migrated on first authenticated load)
- [ ] Test cases documented in QA test plan"
"PD-114","Sub-task","Wiring & sync test: Live monitoring feed health dashboard","wiring-test, post-demo","2026-10-12","2026-10-15","October 2026","PD-049","End-to-end wiring + sync verification that every live feed reports last-pull, lag, gap count, and schema version on the admin dashboard and the public status page.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (job heartbeat → feed_health table → dashboard + status page)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (intentional feed pause shows up within 5 min)
- [ ] Test cases documented in QA test plan"
"PD-115","Sub-task","Wiring & sync test: 8 Risk Preference inputs → Map filter + RFQ targeting","wiring-test, post-demo","2026-10-28","2026-10-31","October 2026","PD-051","End-to-end wiring + sync verification for the 8 risk-preference inputs filtering Map pins and pre-populating the RFQ Builder targeted-provider list.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (slider/tier value → ScopeContext → Map filter + RFQ list)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (Refuse hides; Required highlights; persistence across sessions)
- [ ] Test cases documented in QA test plan"
"PD-116","Sub-task","Wiring & sync test: Live monitoring alerting + reconciliation","wiring-test, post-demo","2026-10-28","2026-10-31","October 2026","PD-053","End-to-end wiring + sync verification for PagerDuty/Slack alerts on feed staleness, schema drift, and gap detection, plus nightly reconciliation jobs.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (rule trigger → on-call notify → runbook reference)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (recon delta surfaces in nightly summary)
- [ ] Test cases documented in QA test plan"
"PD-117","Sub-task","Wiring & sync test: Forward Curve Service API → ML + Risk Report","wiring-test, post-demo","2026-11-12","2026-11-15","November 2026","PD-052","End-to-end wiring + sync verification for the Forward Curve Service API serving versioned curves to ML and the Risk Report.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (curve daily build → API → simulation snapshot)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (curve_version pinned per simulation; reproducible runs)
- [ ] Test cases documented in QA test plan"
"PD-118","Sub-task","Wiring & sync test: Time-matched REC engine → RECs UI","wiring-test, post-demo","2026-11-26","2026-11-30","November 2026","PD-054","End-to-end wiring + sync verification for the full time-matching engine: per-site matching window → hourly REC coverage → RECs sub-tab visualisations and shortfall cost.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (matching window → engine → RECs sub-tab)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (24-h, monthly, annual modes produce different shortfalls)
- [ ] Test cases documented in QA test plan"
"PD-119","Sub-task","Wiring & sync test: API Layer v2 (rate limit + cache + observability)","wiring-test, post-demo","2026-11-26","2026-11-30","November 2026","PD-056","End-to-end wiring + sync verification for the productionised API: rate-limit enforcement, cache hit/miss behaviour, structured request logs, p95 dashboards.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (request → middleware → cache → handler → log)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (over-limit responses correct; cache TTL respected)
- [ ] Test cases documented in QA test plan"
"PD-120","Sub-task","Wiring & sync test: Performance — large portfolio (100+ sites)","wiring-test, post-demo","2026-11-26","2026-11-30","November 2026","PD-057","End-to-end wiring + sync verification that a 100+ site portfolio renders within performance budgets (chart < 200 ms, ML cached < 1 s, cold < 5 s; Map pans 100+ pins without frame drop).

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (large fixture → render budget met)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (memoisation + virtual scroll + lazy pins all engaged)
- [ ] Test cases documented in QA test plan"
"PD-121","Sub-task","Wiring & sync test: Audit log + observability","wiring-test, post-demo","2026-11-26","2026-11-30","November 2026","PD-058","End-to-end wiring + sync verification that every state-mutating action writes an audit-log entry and that Sentry captures client errors with release tags.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (action → audit_log → admin viewer; client error → Sentry)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (alert rules fire on synthetic 5xx surge)
- [ ] Test cases documented in QA test plan"
"PD-122","Sub-task","Wiring & sync test: Disaster Recovery + Backup restore drill","wiring-test, post-demo","2026-12-01","2026-12-05","November 2026","PD-059","End-to-end wiring + sync verification of the DR strategy: PITR restoration drill on staging + re-fetch playbook executed for each ingestion source.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (backup → restore → re-fetch → service green)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (RTO + RPO targets met in drill)
- [ ] Test cases documented in QA test plan"
"PD-123","Sub-task","Wiring & sync test: White-label theming","wiring-test, post-demo","2026-12-21","2026-12-22","December 2026","PD-061","End-to-end wiring + sync verification for per-tenant theme: logo, palette, custom domain routing operate without leaking another tenant's brand.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (theme config → CSS vars + asset paths + domain)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (tenant switch in admin updates branding immediately)
- [ ] Test cases documented in QA test plan"
"PD-124","Sub-task","Wiring & sync test: Documentation site search + nav","wiring-test, post-demo","2026-12-21","2026-12-22","December 2026","PD-062","End-to-end wiring + sync verification for docs.powerdime.com: navigation, search, getting-started flow, API reference auto-generated from OpenAPI.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (build pipeline → deploy → search index)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (API reference matches deployed OpenAPI spec)
- [ ] Test cases documented in QA test plan"
"PD-125","Sub-task","Wiring & sync test: Multi-tenant org separation","wiring-test, post-demo","2026-12-21","2026-12-22","December 2026","PD-063","End-to-end wiring + sync verification for org-level scoping: ScopeBar org selector, RLS extension to org membership, and the admin org-management page.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (org membership → RLS → ScopeBar selector → data filter)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (org switch re-flows scope; cross-org access blocked)
- [ ] Test cases documented in QA test plan"
"PD-126","Sub-task","Wiring & sync test: Export-to-PDF Risk Report","wiring-test, post-demo","2026-12-21","2026-12-22","December 2026","PD-064","End-to-end wiring + sync verification for PDF generation: download triggers, tenant branding applied, generated file matches on-screen Risk Report content.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (download click → server-side render → file delivered)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (multi-page layout, fonts, charts render correctly)
- [ ] Test cases documented in QA test plan"
"PD-127","Sub-task","Wiring & sync test: Saved scenarios (compare A vs B)","wiring-test, post-demo","2026-12-21","2026-12-22","December 2026","PD-066","End-to-end wiring + sync verification for save-and-compare: snapshot current scope+contracts, side-by-side Risk Report, diff highlights.

ACCEPTANCE CRITERIA:
- [ ] Feature sync wiring completed end-to-end (snapshot → store → compare view)
- [ ] Sync testing completed with 0 errors and 0 unexpected results
- [ ] Cross-component dependencies verified (snapshots persist across sessions; diff is correct)
- [ ] Test cases documented in QA test plan"
"PD-128","Sub-task","Wiring & sync test: Final cross-feature regression for v1.0 launch","wiring-test, post-demo, commercial-1.0","2026-12-26","2026-12-29","December 2026","PD-067","Full-portfolio cross-feature regression: every wiring & sync test from May → November re-run on the production-bound build, with a focus on cross-page state preservation, multi-ISO scope changes, RFQ → Contracting → back-fill cycle, time-matched REC matching, and the ML + Forward Curve consistency under load.

ACCEPTANCE CRITERIA:
- [ ] All wiring & sync test cases re-executed against release candidate
- [ ] 0 errors and 0 unexpected results across the full suite
- [ ] Cross-component dependencies verified (no regression vs September / October passes)
- [ ] Sign-off from QA + CTO before go-live"
